,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
280,TMP,Tompkins Financial Corporation,76.87,$1.15B,,Finance,Major Banks,https://old.nasdaq.com/symbol/tmp,
281,TRXC,"TransEnterix, Inc.",3.71,$652.95M,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/trxc,
282,TMQ,Trilogy Metals Inc.,2.14,$306.03M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/tmq,
283,TPHS,Trinity Place Holdings Inc.,2.15,$69.17M,,Consumer Services,Building operators,https://old.nasdaq.com/symbol/tphs,
284,TRT,Trio-Tech International,4.92,$18.26M,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/trt,
285,UFAB,"Unique Fabricating, Inc.",7.255,$70.95M,2015.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/ufab,
286,UAMY,United States Antimony Corporation,0.84,$63.62M,,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/uamy,
287,UUU,"Universal Security Instruments, Inc.",5.73,$13.25M,,Technology,Electronic Components,https://old.nasdaq.com/symbol/uuu,
288,URG,Ur Energy Inc,0.9303,$157.84M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/urg,
289,UEC,Uranium Energy Corp.,1.7,$338.4M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/uec,
290,VGZ,Vista Gold Corporation,0.93,$95.5M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/vgz,
291,VHAQ.U,Viveon Health Acquisition Corp.,,,2020.0,,,https://old.nasdaq.com/symbol/vhaq.u,
292,VNRX,VolitionRX Limited,4.46,$214.96M,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/vnrx,
293,VOLT,"Volt Information Sciences, Inc.",2.94,$63.91M,,Technology,Professional Services,https://old.nasdaq.com/symbol/volt,
294,EAD,Wells Fargo Income Opportunities Fund,8.14,$493.17M,2003.0,,,https://old.nasdaq.com/symbol/ead,
295,ERC,Wells Fargo Multi-Sector Income Fund,12.18,$342.65M,2003.0,,,https://old.nasdaq.com/symbol/erc,
296,ERH,Wells Fargo Utilities and High Income Fund,12.73,$118.07M,2004.0,,,https://old.nasdaq.com/symbol/erh,
297,WRN,Western Copper and Gold Corporation,1.24,$168.14M,2011.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/wrn,
298,WYY,WidePoint Corporation,14.49,$122.57M,,Technology,EDP Services,https://old.nasdaq.com/symbol/wyy,
299,WTT,"Wireless Telecom Group,  Inc.",2.04,$44.26M,,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/wtt,
300,XTNT,"Xtant Medical Holdings, Inc.",1.48,$113.75M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xtnt,
301,ZDGE,"Zedge, Inc.",7.95,$99.56M,2016.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/zdge,
302,ZOM,Zomedica Corp.,0.9562,$793.21M,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/zom,
